item_id,category,question_preview,sheet_best_answer,sheet_confidence,sheet_tier,sheet_n_agree,sheet_evidence,teacher_sonnet,teacher_gpt4,teacher_oss,wolfram_answer,wolfram_confidence,search_status,search_answer,search_source,backsolve_answer,backsolve_confidence,backsolve_tier
810,MCQ,The general solution of the equation $y''+y= \sin x$ is,F,54.36,5,17,backsolve+sub+teacher+xhigh,F,None of the above,E,,,PARTIAL,C1sinx+C2cosx-xcosx/2,computed,F,81.97,2
811,FREE,The mass of one hydrogen atom is $1.67 \times 10^{-24}$ gram. Find the mass of 80;000 hydrogen atoms. Express the answer,1.336 \times 10^{-19},80.38,3,21,sub+teacher,1.336 \times 10^{-19},1.336 \times 10^{-19},1.34\times10^{-19}\ grams,,,,,,1.34 \times 10^{-19},61.74,3
812,FREE,"Convert $\left(xy\right)^{6}=8$ to an equation in polar coordinates. [ANS] $=r^{12}$ Note: use ""t"" for $\theta$",\frac{512}{\sin^6(2t)},32.26,5,11,backsolve+sub+teacher,\frac{512}{\sin^6(2t)} = r^{12},r^{12}\sin^6 t\cos^6 t=8,"r^{12}=512\,\csc^{6}(2t)",,,,,,\dfrac{512}{\sin^6(2t)},56.4,4
813,FREE,Under which of the following circumstances is it impossible to construct a confidence interval for the population mean? ,"A,C",85.39,2,18,backsolve+sub+teacher,"A,C","A,C","A,C",,,,,,"A, C",91.65,1
814,FREE,A study was conducted to see how people reacted to certain facial expressions. A sample group of $n=36$ was randomly div,"5,4.726,0.9451,1.224,30,23.16,0.7719,35,27.88,0.7966",32.26,5,11,backsolve+sub+teacher,"5, 4.7256, 0.9451, 1.224, 30, 23.1567, 0.7719, 35, 27.8822","5,3.1636,0.6327,0.9293,30,20.4244,0.6808,35,23.5881","5,4.73,0.95,1.22,30,23.16,0.77,35,27.88",,,NOT_FOUND,,,"5, 4.726, 0.9451, 1.224, 30, 23.16, 0.7719, 35, 27.88, 0.7966",78.44,3
815,MCQ,Take two numbers randomly from $(0;1)$; so what is the probability that the sum of the two numbers is less than $\frac{6,H,85.4,2,21,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
816,FREE,Animals and people that take in more energy than they expend will get fatter. Here are data on 12 rhesus monkeys: 6 lean,"8.700,10.53",53.71,5,16,sub+teacher,"8.7, 10.53","8.7,10.5333\ldots","8.7,\;\frac{158}{15}",,,,,,10.53,67.58,3
817,FREE,Evaluate this expression: ${{{\textstyle\frac{8}{7}}}+8\cdot{{\textstyle\frac{8}{21}}}=}$ [ANS],\frac{88}{21},47.89,5,6,sub+teacher,\frac{88}{21},\frac{88}{21},\frac{88}{21},,,,,,8822,45.37,4
818,FREE,Write the expression as a single fraction. Simplify your answer. $\begin{array}{cccc}\hline &  \frac{6}{a}+\frac{5}{b}=&,"6b+5a,ab",47.89,5,6,sub+teacher,"6b+5a,ab","6b+5a,ab","6b+5a,ab",,,,,,\dfrac{5a + 6b}{ab},30.99,5
819,MCQ,$\int_{{}}^{{}}{\frac{1+\sin x}{1+\cos x}dx}=$,E,85.4,2,21,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
820,FREE,Simplify the expression: $18-6 \div 2$ [ANS],15,93.67,2,22,backsolve+sub+teacher,15,15,15,,,,,,15,99.0,1
821,FREE,Suppose you want to use a paired sample to compare the mean TV viewing times of married men and married women. What is t,"C,A,A,A",87.98,2,19,backsolve+sub+teacher,"C,A,A,A","C,A,A,A","C,A,A,A",,,,,,"C, A, A, A",97.68,1
822,FREE,What is the linear velocity in MILES PER HOUR of the tip of a lawnmower blade spinning at 2800 revolutions per minute in,399.8,34.14,5,12,backsolve+sub+teacher,200,\frac{700\pi}{11},\frac{700\pi}{11} miles per hour,,,,,,399.8,62.23,3
823,FREE,Let \(a\) be a positive integer. We say that \(a\) is bao-good if there exist integers \((s;l)\) such that: 1. There doe,359,32.26,5,11,backsolve+sub+teacher,230,501,1436,,,,,,359,95.51,1
824,MCQ,Calculate the integral using the trapezoidal rule $$ y=\int_{0}^{x} \mathrm{e}^{-t^{2}} \; \mathrm{d} t $$ to the approx,C,93.67,2,22,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
825,MCQ,Find the value of the integral $\int_{0}^{\pi} \operatorname{tan}(\theta + \mathrm{i} a) \; \mathrm{d}\theta \quad (a$ i,D,80.51,3,20,backsolve+sub+teacher,D,D,D,,,,,,D,76.72,3
826,FREE,A manufacturer has 3400 units in stock. The product is now selling at \$6 per unit. Next month the unit price will incre,1800,93.67,2,22,backsolve+sub+teacher,1800,1800,1800,,,,,,1800,99.0,1
827,MCQ,Where is the parabola $y = x^2$ closest to the point $(2;0)$?,H,85.4,2,21,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
828,FREE,Use the given data to find the 95\% confidence interval estimate of the population mean $\mu$. Assume that the populatio,"99.63,110.4",40.29,5,14,backsolve+sub+teacher,"99.63, 110.37","99.63,\mu,110.37","99.63,110.37",,,,,,"99.63, 110.4",91.39,1
829,FREE,You fire a rifle at an angle of 45 degrees. Thus the initial horizontal and vertical velocities of your bullet are the s,8464,73.77,4,17,sub+teacher,8464,8464,8464,,,,,,4209,38.86,5
830,FREE,Find the distance along an arc on the surface of the earth that subtends a central angle of 8 minutes (1 minute=1/60 deg,9.215,45.98,5,17,backsolve+sub+teacher,9.22,\frac{44\pi}{15},\frac{44\pi}{15},,,,,,9.215,96.23,1
831,MCQ,Solve the integral: $$ \int \frac{ 1 }{ \sin(8 \cdot x)^5 } \; dx $$,E,61.71,4,13,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
832,MCQ,Given \( y = {f^2}(x) \); assuming \( f(u) \) is twice differentiable; then \( y'' \) is ( ).,J,85.4,2,21,backsolve+sub+teacher,J,J,J,,,,,,J,99.0,1
833,FREE,Enter the following rational numbers from least to greatest. Separate your answers by commas. No decimals or mixed fract,"-19/3,3/4,48/6,40/3",91.79,2,21,backsolve+sub+teacher,"-19/3, 3/4, 48/6, 40/3","-19/3,3/4,48/6,40/3","-19/3, 3/4, 48/6, 40/3",,,,,,"-19/3, 3/4, 8, 40/3",46.84,4
834,FREE,Fill in the following equations: $45^\circ=$ [ANS] rad $270^\circ=$ [ANS] rad $-570^\circ=$ [ANS] rad Hint: Everything f,"\frac{\pi}{4},\frac{3\pi}{2},-\frac{19\pi}{6}",47.89,5,6,sub+teacher,"\frac{\pi}{4},\,\frac{3\pi}{2},\,-\frac{19\pi}{6}","\frac{\pi}{4},\frac{3\pi}{2},-\frac{19\pi}{6}","\frac{\pi}{4},\frac{3\pi}{2},-\frac{19\pi}{6}",,,,,,5,36.16,5
835,FREE,Penelope collected a total of $2016$ stamps over the past $16$ years. On average; how many stamps did Penelope collect e,126,93.67,2,22,backsolve+sub+teacher,126,126,126,,,,,,126,99.0,1
836,FREE,Let \( f: \mathbb{R} \to \mathbb{R} \) be a continuous function. A chord is defined as a segment of integer length; para,2025,38.89,5,8,sub+teacher,15,2025,2025,,,,,,15,76.66,3
837,MCQ,Find the value of $I=\int_{0}^{1}f(x)$d$x$ is (); where $$f(x)=\begin{cases}x\mathrm{ln}x/(x-1);&0<x<1;\\0;&x=0;\\1;&x=1,D,85.4,2,21,backsolve+sub+teacher,D,D,D,,,,,,D,99.0,1
838,FREE,One of the few negative side effects of quitting smoking is weight gain. Suppose that the weight gain in the 12 months f,"(23.66,28.34)",91.79,2,21,backsolve+sub+teacher,"(23.66, 28.34)","(23.66, 28.34)","(23.66,\;28.34)",,,,,,"(23.66, 28.34)",92.2,1
839,MCQ,Evaluate $\sum_{n=0}^\infty \mathrm{Arccot}(n^2+n+1)$; where $\mathrm{Arccot}\;t$ for $t \geq 0$ denotes the number $\th,G,85.4,2,21,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
840,MCQ,Fix an integer $b \geq 2$. Let $f(1) = 1$; $f(2) = 2$; and for each $n \geq 3$; define $f(n) = n f(d)$; where $d$ is the,F,71.69,4,15,backsolve+sub+teacher,F,F,F,,,,,,F,99.0,1
841,FREE,Let $f(x)=\sin{(8x)}$ and $g(x)=5+\sqrt{x}$. Find formulas for: (a) $f(g(x))=$ [ANS] (b) $g(f(x))=$ [ANS],"\sin(40+8\sqrt{x}),5+\sqrt{\sin(8x)}",69.01,4,16,sub+teacher,"\sin(40+8\sqrt{x}),\ 5+\sqrt{\sin(8x)}","\sin(40+8\sqrt{x}),5+\sqrt{\sin(8x)}","\sin(40+8\sqrt{x}),\;5+\sqrt{\sin(8x)}",,,,,,"\sin\left(40 + 8\sqrt{x}\right), 5 + \sqrt{\sin(8x)}",75.88,3
842,FREE,When a poultry farmer uses his regular feed; the newborn chickens have normally distributed weights with a mean of $62.5,"65.47,1.552,6.052,1.833,B",32.26,5,11,backsolve+sub+teacher,"65.47, 1.552, 6.051, 1.833, B","65.47,1.50,6.26,1.833,B","65.47,1.55,6.05,1.83,B",,,NOT_FOUND,,,"65.47, 1.552, 6.052, 1.833, B",80.67,2
843,FREE,Rewrite the following using a single exponent. $\begin{array}{cccc}\hline &  32^2 y^{10}=\Big([ANS] \Big) & & [ANS] \\ \,"2y,10",68.31,4,18,sub+teacher,"2y,10","2y,10",(2y)^{10},,,,,,10,47.07,4
844,MCQ,For $\mathbf{p}=\uparrow\mathbf{1}$ and $\mathbf{q}=1 7$ and choose $\mathrm{e}=7$ . Apply RSA algorithm where PT messag,J,77.8,3,20,backsolve+sub+teacher,J,J,E,,,,,,J,76.72,3
845,FREE,Write the expression with positive exponents and simplify. $ \frac{1}{5^{-1}}$=[ANS],5,93.67,2,22,backsolve+sub+teacher,5,5,5,,,,,,5,99.0,1
846,FREE,$\lceil 2.6\rceil=$ [ANS] $\lceil 0.800000000000001\rceil=$ [ANS] $\lceil 1.2\rceil=$ [ANS] $\lceil 2.2\rceil=$ [ANS] $\,"3,1,2,3,-2",87.98,2,19,backsolve+sub+teacher,"3,1,2,3,-2","3,1,2,3,-2","3,1,2,3,-2",,,,,,"3, 1, 2, 3, -2",97.68,1
847,MCQ,Let the random variable X follow a Poisson distribution with parameter A. Prove that: $\operatorname{E} \ \left( \mathbf,H,93.67,2,22,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
848,MCQ,Find the minimum value of $y = \frac{ \left(\cos(x)\right)^2 - 4 \cdot \cos(x) + 5 }{ 3 - 2 \cdot \cos(x) }$.,E,93.67,2,22,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
849,FREE,Express the following sum in closed form. $ \sum\limits_{k=1}^{n} \ 8 \left(\frac{k}{n}\right)$=[ANS] Note: Your answer ,4(n+1),93.67,2,22,backsolve+sub+teacher,4(n+1),4(n+1),4(n+1),,,,,,4(n + 1),99.0,1
850,MCQ,You have $5$ boxes and $2005$ balls. $286$ ; $645$ ; and $1074$ of these balls are blue; green; and red; respectively. S,C,85.4,2,21,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
851,FREE,Consider the equation $y=-\frac{5}{8}x$ Which of the following ordered pairs are solutions to the given equation? There ,"B,C",68.23,4,20,backsolve+sub+teacher,B  and  C,B  and  C,"B,\ C",,,,,,"B,\ C",36.1,5
852,FREE,Each second; an atom clock runs $0.0008$ second slower than usual. This clock and a normal clock start running side by s,414.72,99.79,1,26,sub+teacher,414.72,414.72,\frac{10368}{25},,,,,,PLACEHOLDER_0852,66.8,3
853,MCQ,What is the circumference of the ellipse $\frac{x^{2}}{4} + y^{2} = 1$? Provide the result with five significant figures,C,85.4,2,21,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
854,FREE,If $g(t)=\frac{1}{t+8}-6$ (a) Find $g(0)$. $g(0)=$ [ANS] (b) Exactly solve $g(t)=0$. If there is more than one solution;,"-\frac{47}{8},-\frac{47}{6}",35.09,5,5,sub+teacher,"-47/8,-47/6","-\frac{47}{8},-\frac{47}{6}","-\frac{47}{8},-\frac{47}{6}",,,,,,"-5.875, -\dfrac{47}{6}",48.62,4
855,FREE,The following table shows the number of canned food collected by a non-profit organization last year. $\begin{array}{cc},"20000,2000",87.98,2,19,backsolve+sub+teacher,"20000,2000","20000,2000","20000,2000",,,,,,"20000, 2000",97.68,1
856,MCQ,Alice and Bob play a game on a board consisting of one row of 2022 consecutive squares. They take turns placing tiles th,D,58.89,5,14,backsolve+sub+teacher,H,D,D,,,,,,D,91.39,1
857,FREE,Weights of 10 red and 36 brown randomly chosen M{\&}M plain candies are listed below. Red: $\begin{array}{lllll} 0.897& ,"A,\ 0.8974,\ 0.9146,\ A,\ 0.9015,\ 0.9221",29.43,5,10,backsolve+sub+teacher,"A, 0.8974, 0.9146, A, 0.9024, 0.9212","A,0.8967,0.9153,A,0.8996,0.9222","A,0.897,0.915,A,0.902,0.922",,,,,,"A,\ 0.8974,\ 0.9146,\ A,\ 0.9015,\ 0.9221",30.71,5
858,FREE,It is widely accepted that people are a little taller in the morning than at night. Here we perform a test on how big th,"2.300,1.691,Yes",51.09,5,12,sub+teacher+wolfram,"2.300, 1.691, Yes","2.30,1.691,Yes","2.30,2.03,Yes","2.300, 1.691, Yes",PARTIAL,,,,"2.300, 1.694, \text{Yes}",43.43,4
859,FREE,For each angle (in degrees) below; determine the quadrant in which the terminal side of the angle is found. [NOTE: Enter,"1,2,2,4",82.55,3,17,backsolve+sub+teacher,"1,2,2,4","1,2,2,4","1,2,2,4",,,GOLD,"1, 2, 2, 4",computed,"1, 2, 2, 4",88.82,2
860,FREE,In a sequence of five integers the third integer is the sum of the previous two; the fourth integer is the sum of the pr,22,93.67,2,22,backsolve+sub+teacher,22,22,22,,,,,,22,99.0,1
861,MCQ,The tridiagonal matrix A[1..100][1..100] is stored in a one-dimensional array B[1..298] in row-major order. What is the ,G,85.4,2,21,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
862,MCQ,We now define an algorithm: The definition of a(n) is the number of ordered length 2 compositions of n (where n is a pos,I,85.4,2,21,backsolve+sub+teacher,I,I,I,,,,,,I,99.0,1
863,FREE,Simplify the following expression; and write your answer using only positive exponents. $\frac{t^{-5}}{\left(t^{8}\right,\frac{1}{t^{69}},93.67,2,22,backsolve+sub+teacher,\frac{1}{t^{69}},\frac{1}{t^{69}},\frac{1}{t^{69}},,,,,,\dfrac{1}{t^{69}},48.08,4
864,FREE,Your friend from Paris arrives in New York and the forecast is for a low of 53 and a high of 77 degrees Fahrenheit. What,"11.67,25.00",59.65,5,18,sub+teacher,"11.67, 25","\frac{35}{3},25","\frac{35}{3},25",,,,,,25.00,52.79,4
865,FREE,Translate the following phrase into a math expression or equation (whichever is appropriate). Use $x$ to represent the u,\frac{7}{x} - 8,93.67,2,22,backsolve+sub+teacher,\frac{7}{x} - 8,\frac{7}{x}-8,\frac{7}{x} - 8,,,,,,\dfrac{7}{x} - 8,61.66,3
866,MCQ,Calculate the following products: $$ ( 2 ) \ {\frac{1} {2 \pi\mathrm{i}}} \int_{| z |=2} {\frac{\mathrm{e}^{\mathrm{z i},H,85.4,2,21,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
867,MCQ,Let two independent events; $A$ ; $B$ and $C$; satisfy the following conditions: $A B C=\Phi; P (A)=P (B)=P (C) < 1/2$ ;,E,85.4,2,21,backsolve+sub+teacher,E,E,E,,,,,,E,99.0,1
868,MCQ,Call a positive integer $\textit{troubling}$ if its only prime divisors are $2$ and $5$ . Two $\textit{troubling}$ numbe,E,53.94,5,17,backsolve+sub+teacher,B,No listed option; correct value is 96,E,,,GOLD,88,computed,E,81.97,2
869,FREE,(a) Suppose you pick two numbers 5 and 6. Find their sum and product; but do not enter it below. Then; find the average ,"20.50,\frac{x + y + xy}{2}",73.85,4,20,backsolve+sub+teacher,"20.5,\ \frac{x+y+xy}{2}","\frac{41}{2},\frac{x+y+xy}{2}","41/2,\,(x+y+xy)/2",,,,,,"20.50, \dfrac{x + y + xy}{2}",74.36,3
870,MCQ,A die is thrown 8 times; resulting in a 2 appearing 3 times; the probability is ( ),D,93.67,2,22,backsolve+sub+teacher,D,D,D,,,,,,D,99.0,1
871,MCQ,The locus of the mid point of the line segment joining the focus to a moving point on the parabola $y^{2}=4ax$ is anothe,G,85.4,2,21,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
872,FREE,Find: (a) $\lim\limits_{t\to-\infty}\; (t^{2}+5)=$ [ANS] (Enter the word infinity or-infinity if the limit goes to $\inf,"infinity,0",89.31,2,21,sub+teacher,"infinity, 0","infinity,0","infinity,0",,,,,,INVALID,49.19,4
873,MCQ,We now define an algorithm: The definition of a(n) is the reversion transform of x*(x - 1)^2/(1 - x + x^3). Given the in,B,55.37,5,19,sub+teacher,A,A,G,,,,,,A,55.37,4
874,MCQ,We now define an algorithm: The definition of a(n) is the result of the generalized nim sum of n and n; where nim sum is,J,80.94,3,19,backsolve+sub+teacher,J,J,J,,,,,,J,99.0,1
875,MCQ,If the volume of the tetrahedron with edges $2i + j - k;\;\;i + aj + k$  and $i + 2j - k$ is one cubic unit then $a$=,C,93.67,2,22,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
876,MCQ,After $5 k g$ soap is dissolved in $3 0 0 L$ water; clean water is poured in at a rate of $1 0 L$ per minute; and the ev,C,93.67,2,22,backsolve+sub+teacher,C,C,C,,,,,,C,99.0,1
877,MCQ,We now define an algorithm: The definition of a(n) is: Bisection (odd part) of Chebyshev sequence with Diophantine prope,F,85.4,2,21,backsolve+sub+teacher,F,F,F,,,,,,F,99.0,1
878,MCQ,Find the remainder when $\left( 1 2 3 7 1^{5 6}+3 4 \right)^{2 8}$ is divided by 111.,I,84.97,3,22,backsolve+sub+teacher,I,I,I,,,,,,I,77.43,3
879,MCQ,Find the volume of the region of points $(x;y;z)$ such that \[ (x^2 + y^2 + z^2 + 8)^2 \leq 36(x^2 + y^2). \],H,93.67,2,22,backsolve+sub+teacher,H,H,H,,,,,,H,99.0,1
880,FREE,Find $\sin \theta$ and $\tan \theta$ if $\cos \theta=\frac {12}{37}$; assuming that $0\leq\theta < \pi/2$. $\sin \theta=,"\frac{35}{37},\frac{35}{12}",47.89,5,6,sub+teacher,"\frac{35}{37},\frac{35}{12}","\frac{35}{37},\frac{35}{12}","\frac{35}{37},\frac{35}{12}",,,,,,"0.9459, 2.917",33.41,5
881,MCQ,In the group G = {2; 4; 6; 8) under multiplication modulo 10; the identity element is,D,93.67,2,22,backsolve+sub+teacher,D,D,D,,,,,,D,99.0,1
882,FREE,Town A and Town B were located close to each other; and recently merged into one city. Town A had a population with $8\%,"1200,3600",87.98,2,19,backsolve+sub+teacher,"1200,3600","1200,3600","1200,3600",,,,,,"1200, 3600",97.68,1
883,FREE,You drop a rock into a deep well. You can't see the rock's impact at the bottom; but you hear it after 7 seconds. The de,656.1,45.98,5,17,backsolve+sub+teacher,656,657,656 ft,,,,,,656.1,96.23,1
884,FREE,Given $f(x)=x^2$; after performing the following transformations: shift upward 74 units and shift 59 units to the right;,(x - 59)^2 + 74,50.87,5,17,backsolve+sub+teacher+wolfram,g(x)=(x-59)^2+74,(x-59)^2+74,(x-59)^{2}+74,g(x)=(x-59)^2+74,HIGH,GOLD,(x-59)^2+74,trivial,(x - 59)^2 + 74,84.12,2
885,FREE,Calculate the mode; mean; and median of the following data: 18; \ 20; \ 17; \ 18; \ 17; \ 999; \ 18; \ 12 Mode=[ANS] Mea,"18,139.875,18,B",85.84,2,22,sub+teacher,"18, 139.875, 18, B","18,139.875,18,B","18,\frac{1119}{8},18,B",,,,,,B,90.54,1
886,FREE,In developing an interval estimate for a population mean; a sample of 50 observations was used. The interval estimate wa,"A,C",77.27,3,15,backsolve+sub+teacher+wolfram,"A,C","A,C","A,C","A, C",HIGH,,,,"A, C",61.42,3
887,MCQ,Solve the equation $$ (x_{1} \wedge 0.6) \lor (x_{2} \wedge 0.7) \lor (x_{3} \wedge 0.5) \lor (x_{4} \wedge 0.3) = 0.5. ,I,51.26,5,9,sub+teacher,I,I,I,,,,,,C,55.3,4
888,MCQ,Given $A P=P B$ ; and $P=\left( \begin{matrix} {{{1}}} & {{{0}}} & {{{0}}} \\ {{{2}}} & {{{-1}}} & {{{0}}} \\ {{{2}}} & ,I,93.67,2,22,backsolve+sub+teacher,I,I,I,,,,,,I,99.0,1
889,FREE,Decide whether the expression \frac{20 y}{4 y+5} can be put in the form \frac{ax}{a+x}; where $a$ is a constant and $x$ ,"5,4y",73.73,4,14,backsolve+sub+teacher,"5, 4y","5,4y","5,4y",,,,,,"5, 4y",61.42,3
890,FREE,A study investigated the effect of the length and the repetition of TV advertisements on students' desire to eat at a Su,"A,A,C,6",50.29,5,6,sub+teacher,"A,A,C,6","A,A,C,6","A,A,C,6",,,,,,6,54.66,4
891,MCQ,The maximum interval of existence for the solution of the Cauchy problem $\left\{\begin{matrix} {{{\frac{\mathrm{d} y} {,A,93.67,2,22,backsolve+sub+teacher,A,A,A,,,,,,A,99.0,1
892,FREE,An aerial photograph from a U-2 spy plane is taken of a building suspected of housing nuclear warheads. When the photogr,69.65,93.67,2,22,backsolve+sub+teacher,69.65,69.65,69.65,,,,,,69.65,99.0,1
893,FREE,In a questionnaire; respondents are asked to mark their gender as male or female. Gender is an example of a: [ANS] A. qu,"A,C",87.98,2,19,backsolve+sub+teacher,"A,C","A,C","A,C",,,,,,"A, C",97.68,1
894,FREE,The variables are x=SP500 market monthly log return and y=monthly return of American Express for 48 months beginning in ,"0.008,1.783,2.013,-0.091,0.283,-0.100,0.272,10",20.93,0,6,sub+teacher+wolfram,"0.023, 1.484, 2.013, -0.109, 0.301, -0.118, 0.294, 10","0.027,0.465,2.013,-0.131,0.231,-0.133,0.228,10","0.008,1.781,2.013,-0.091,0.283,-0.101,0.273,10","0.008, 1.783, 2.013, -0.091, 0.283, -0.100, 0.272, 10",MEDIUM,,,,9,95.51,1
895,FREE,Find a formula for the exponential function which satisfies the given conditions: g(10)=70 \quad\mbox{and}\quad g(30)=20,70 ( \frac{2}{7} )^{\frac{x - 10}{20}},32.75,5,8,sub+teacher,g(x)=35\sqrt{14}(\frac{2}{7})^{x/20},70(\frac{2}{7})^{\frac{x-10}{20}},g(x)=35\sqrt{14}(\frac{2}{7})^{\frac{x}{20}},,,,,,70 \left( \dfrac{2}{7} \right)^{\frac{x - 10}{20}},97.44,1
896,FREE,Choose True or False for the following questions about the difference between expressions and equations. $\text{We can e,"False,True,False,False,True,True,False,True",47.89,5,6,sub+teacher,"False,True,False,False,True,True,False,True","False,True,False,False,True,True,False,True","False,True,False,False,True,True,False,True",,,,,,"0, 1, 0, 0, 1, 1, 0, 1",18.64,5
897,FREE,Suppose that the mean score of a class of 34 students was 77. The 18 male students in the class had a mean score of 70. ,84.875,56.95,5,9,sub+teacher,84.875,84.875,84.875,,,,,,84.88,62.63,3
898,FREE,Simplify the expression: $8\times 6+0 \times 7$ [ANS],48,93.67,2,22,backsolve+sub+teacher,48,48,48,,,,,,48,99.0,1
899,MCQ,Compute the integral: $$ \int \frac{ \tan(x) }{ \sqrt{\sin(x)^4+\cos(x)^4} } \; dx $$,D,85.4,2,21,backsolve+sub+teacher,D,D,D,,,,,,D,99.0,1
900,FREE,Town A and Town B were located close to each other; and recently merged into one city. Town A had a population with $8\%,"1200,3600",87.98,2,19,backsolve+sub+teacher,"1200,3600","1200,3600","1200,3600",,,,,,"1200, 3600",97.68,1
901,MCQ,Let $\quad{\underline{{{2}}}}=\int_{1}^{2} {\frac{x-1} {x}}+\int_{2}^{3} {\frac{3-x} {x}}; \quad{\underline{{{3}}}}=\int,J,35.27,5,13,sub+teacher,H,H,B,,,,,,D,39.41,5
902,FREE,The expression \frac{\sqrt{81}}{\sqrt{36}} equals [ANS]/[ANS].,"3,2",56.24,5,15,backsolve+sub+teacher+wolfram,"3,2","9,6","3,2","9, 6",HIGH,,,,"3, 2",45.31,4
903,FREE,In a histogram; the proportion of the total area which must be to the left of the median is: [ANS] A. exactly 0.50  B. b,"A,C",85.39,2,18,backsolve+sub+teacher,"A,C","A,C","A,C",,,,,,"A, C",91.65,1
904,MCQ,Let $$R_1 = \begin{pmatrix} 0.5 & 0.4 & 0.2 & 0.1 \\ 0.2 & 0.6 & 0.4 & 0.5 \\ 0.1 & 0.9 & 1 & 0.7 \end{pmatrix};$$ $$ R_,A,46.28,5,6,sub+teacher+xhigh,A,A,A,,,NOT_FOUND,,,D,87.37,2
905,FREE,For each paired data set; construct a scatterplot and identify the mathematical model that best fits the given data. $\b,"B,C",87.98,2,19,backsolve+sub+teacher,"B,C","B,C","B,C",,,,,,"B, C",97.68,1
906,FREE,Find vertical asymptote(s) of the function ${m(x)={\frac{3}{x^{2}-7x+10}}}$. Use commas to separate equations if needed.,"x=2,x=5",51.66,5,7,backsolve+sub+teacher,"x=2, x=5","x=2,\ x=5","x=2, x=5",,,,,,"x=2, x=5",36.1,5
907,FREE,Let $\mathcal P$ be a simple polygon and let $j$ and $k$ be positive integers with $j > k$. Suppose that it is possible ,56,32.26,5,11,backsolve+sub+teacher,152,450,120,,,,,,56,95.51,1
908,FREE,A typical cup of coffee contains about 100 mg of caffeine and every hour approximately 17\% is metabolized and eliminate,"100(0.83)^t,\ 39.390",30.34,5,5,sub+teacher,"100(0.83)^t,\ 39.390","100(0.83)^t,100(0.83)^5,39.390","100(0.83)^t,39.390",,,,,,"100 \cdot (0.83)^t, 39.390",39.16,5
909,FREE,You start with 800 items. How many do you have after a 90\% increase? You will have [ANS] items.,1520,93.67,2,22,backsolve+sub+teacher,1520,1520,1520,,,,,,1520,99.0,1
910,FREE,On average; Fabrienne collects $126$ stamps every year. Fill in blanks: Question 1: At this rate; Fabrienne would collec,"1134,16",87.98,2,19,backsolve+sub+teacher,"1134,16","1134,16","1134,16",,,,,,"1134, 16",97.68,1
911,MCQ,A bug is on a vertex of a regular icosahedron (a polyhedron with 20 triangular faces.) Every second; it can either move ,A,27.7,5,4,backsolve+sub+teacher,A,J,I,,,,,,A,76.66,3
912,FREE,A survey team is trying to estimate the height of a mountain above a level plain. From one point on the plain; they obse,6012,50.65,5,19,backsolve+sub+teacher,6013,6013,6012 ft (approximately),,,,,,6012,97.2,1
913,MCQ,$int {{{dx} over {x{{left( {x - 1} right)}^2}}}} = left( {} right)$,G,93.67,2,22,backsolve+sub+teacher,G,G,G,,,,,,G,99.0,1
914,FREE,A recent survey showed that among 800 randomly selected subjects who completed 4 years of college; 175 smoke and 625 do ,"0.1901,0.2474",55.51,5,17,sub+teacher,"0.190, 0.247","0.1901,0.2474","0.190,0.247",,,,,,0.2474,47.07,4
915,FREE,A line passes through the points $(4;-6)$ and $(9;-16)$. Find this line’s slope. If the slope does not exists; you may e,-2,95.0,1,24,sub+teacher,-2,-2,-2,,,GOLD,-2,trivial,-1,81.65,2
916,FREE,Plot the points $A=(1; 0)$; $B=(4; 3)$; and $C=(-5; 6)$. Notice that these points are vertices of a right triangle (the ,"3\sqrt{2},6\sqrt{2},18",53.81,5,9,sub+teacher,"3\sqrt{2},\ 6\sqrt{2},\ 18","3\sqrt{2},6\sqrt{2},18","3\sqrt{2},6\sqrt{2},18",,,,,,"4.243, 8.485, 18.00",91.39,1
917,FREE,The time in hours for a worker to repair an electrical instrument is a Normally distributed random variable with a mean ,"189.8,246.4,43",72.84,4,14,sub+teacher+wolfram,"189.8, 246.4, 43","189.8,246.4,43","189.8,246.4,43","189.8, 246.4, 43",HIGH,,,,190,45.37,4
918,MCQ,Given $A=\left[ \begin{array} {c c} {{{1}}} & {{{2}}} \\ {{{3}}} & {{{4}}} \\ \end{array} \right].$ Find the spectral ra,C,75.34,3,22,backsolve+sub+teacher+xhigh,C,E,C,,,,,,C,77.43,3
